package,component,fname,dep_type
ggChernoff,scale,scale_brow_continuous,imports or depends
ggChernoff,scale,scale_eyes,imports or depends
ggChernoff,scale,scale_eyes_continuous,imports or depends
ggChernoff,scale,scale_smile,imports or depends
ggChernoff,scale,scale_smile_continuous,imports or depends
ggcompare,geom,geom_bracket,imports or depends
ggcompare,stat,stat_compare,imports or depends
ggdag,geom,geom_dag_collider_edges,imports or depends
ggdag,geom,geom_dag_edges,imports or depends
ggdag,geom,geom_dag_edges_arc,imports or depends
ggdag,geom,geom_dag_edges_diagonal,imports or depends
ggdag,geom,geom_dag_edges_fan,imports or depends
ggdag,geom,geom_dag_edges_link,imports or depends
ggdag,geom,geom_dag_label,imports or depends
ggdag,geom,geom_dag_label_repel,imports or depends
ggdag,geom,geom_dag_node,imports or depends
ggdag,geom,geom_dag_point,imports or depends
ggdag,geom,geom_dag_text,imports or depends
ggdag,geom,geom_dag_text_repel,imports or depends
ggdag,scale,scale_adjusted,imports or depends
ggdag,scale,scale_dag,imports or depends
ggdag,theme,theme_dag,imports or depends
ggdag,theme,theme_dag_blank,imports or depends
ggdag,theme,theme_dag_gray,imports or depends
ggdag,theme,theme_dag_gray_grid,imports or depends
ggdag,theme,theme_dag_grey,imports or depends
ggdag,theme,theme_dag_grey_grid,imports or depends
ggdag,theme,theme_dag_grid,imports or depends
ggdemetra,geom,geom_arima,imports or depends
ggdemetra,geom,geom_diagnostics,imports or depends
ggdemetra,geom,geom_outlier,imports or depends
ggdemetra,geom,geom_sa,imports or depends
ggdemetra,stat,stat_sa,imports or depends
ggdendro,theme,theme_dendro,imports or depends
ggdensity,geom,geom_hdr,imports or depends
ggdensity,geom,geom_hdr_fun,imports or depends
ggdensity,geom,geom_hdr_lines,imports or depends
ggdensity,geom,geom_hdr_lines_fun,imports or depends
ggdensity,geom,geom_hdr_points,imports or depends
ggdensity,geom,geom_hdr_points_fun,imports or depends
ggdensity,geom,geom_hdr_rug,imports or depends
ggdensity,geom,geom_hdr_rug_fun,imports or depends
ggdensity,stat,stat_hdr,imports or depends
ggdensity,stat,stat_hdr_fun,imports or depends
ggdensity,stat,stat_hdr_lines,imports or depends
ggdensity,stat,stat_hdr_lines_fun,imports or depends
ggdensity,stat,stat_hdr_points,imports or depends
ggdensity,stat,stat_hdr_points_fun,imports or depends
ggdensity,stat,stat_hdr_rug,imports or depends
ggdensity,stat,stat_hdr_rug_fun,imports or depends
ggdibbler,geom,geom_abline_sample,imports or depends
ggdibbler,geom,geom_area_sample,imports or depends
ggdibbler,geom,geom_bar_sample,imports or depends
ggdibbler,geom,geom_bin_2d_sample,imports or depends
ggdibbler,geom,geom_boxplot_sample,imports or depends
ggdibbler,geom,geom_col_sample,imports or depends
